;size_fraction;fraction_name;sample_code;station_id;CTD;transect;bot.depth;depth;depth_rank;sampling_date;julian_day;longitude[degrees_east];latitude[degrees_north];OWD;by_OW_minus10_10;ice_concentration_percent;dna_concentration;dna_extraction_kit;n_reads;reads_total;pico_ml;nano_ml;pico_and_nano_ml;crypto_ml;bact_ml;temperature;fluo;cdom;salinity;mixed_layer_depth;nitracline_depth;PAR_irradiance;primary_production;primary_production_std_dev;don_release;NO3_assimilation;NH4_assimilation;NH4_regeneration;urea_assimilation;nitrification;poc;poc_std_dev;pon;pon_std_dev;doc;don;nitrate;nitrite;phosphate;silica;ammonium;urea;rate_NO3_SiOH4;rate_PO4_NO3;rate_NO3_PO4;chlorophyll_a;chlorophyll_b
3um-3-01;3um;3-20 µm;3um-3-01;G300;49;T3;196;0;1;17/06/2016;169;-56,8;69;26;OW;0;2,8;Zymo;276;29832;714;450;1164;0;1017000;1,3;0,1;2;33,8;42;31;18,82558791;4,535649287;0,431111363;5,459112333;63,17106685;239,7543198;19,33766594;139,8414885;1,481350321;22,40306536;2,166143974;2,193590849;0,500476097;154,2013502;6,398727808;0;0;0,194;1,715;0,314;0,314;0;;0;0,229;NA
3um-3-03;3um;3-20 µm;3um-3-03;G300;49;T3;196;26;2;17/06/2016;169;-56,8;69;26;OW;0;1,4;Zymo;113;15333;614;354;968;0;1006894;1,2;0,2;2;33,8;42;31;18,82558791;3,467792497;0,238470366;7,282774757;55,4668552;162,9613377;13,97232592;115,3244688;1,347839839;23,34567032;1,816763004;2,566991602;0,319476312;174,0357353;17,12373865;0;0;0,214;1,537;0,314;0,314;0;;0;;
3um-3-04;3um;3-20 µm;3um-3-04;G300;49;T3;196;47;3;17/06/2016;169;-56,8;69;26;OW;0;0,9;Zymo;1495;14539;0;1048;1048;0;528409;-0,8;1,8;2,1;33,8;42;31;18,82558791;3,839199017;0,720515486;36,86287649;89,55865002;100,3356901;25,90633982;26,10571474;6,201303872;18,40272882;1,372672826;2,165858909;0,273579497;158,2016868;17,37793109;1,7;0,058;0,419;3,077;0,433;0,433;0,552;0,246;4,057;2,3548;NA
3um-3-05;3um;3-20 µm;3um-3-05;G300;49;T3;196;64;4;17/06/2016;169;-56,8;69;26;OW;0;4,2;Zymo;6461;31365;0;3921;3921;0;794939;-0,8;1,9;2,1;34;42;31;18,82558791;0,505662382;0,084803228;72,17925544;65,4366465;78,40069837;98,23142426;16,59748415;18,23378614;19,80896426;2,338658749;2,31647546;0,262734725;312,6228769;22,16977261;9,006;0,161;0,905;5,642;0,513;0,513;1,596;0,1;9,951;;
3um-3-06;3um;3-20 µm;3um-3-06;G300;49;T3;196;75;5;17/06/2016;169;-56,8;69;26;OW;0;5,3;Zymo;4976;24474;0;3386;3386;0;925576;-0,5;1,7;2,2;34;42;31;18,82558791;;;;;;;;;;;;;;;;;;;;;;;;;
3um-3-07;3um;3-20 µm;3um-3-07;G309;58;T3;343;0;1;18/06/2016;170;-58,7;69;2;MIZ;0;2,7;Zymo;2381;21332;;;0;;;-0,6;0,8;1,8;33,1;12;19;20,20734562;28,36983978;1,586452769;72,55834171;190,6228746;448,971864;67,65133991;186,5038209;6,304798694;27,17675694;0,839914842;3,216514652;0,225361916;10,22182519;19,26632182;0,026;0,046;0,086;1,702;0,09850693;0,652;0,015;3,308;0,302;0,7775;0,0419
3um-3-08;3um;3-20 µm;3um-3-08;G309;58;T3;343;13;2;18/06/2016;170;-58,7;69;2;MIZ;0;1,1;Zymo;3487;30682;;;0;;;-0,6;1,7;1,9;33,1;12;19;20,20734562;11,98883522;2,552836951;101,6021459;164,0469837;396,8610399;70,09087629;141,9735999;8,687791468;26,52101821;3,703950379;3,021170702;0,269402066;197,8704745;13,05642678;0,021;0,012;0,075;1,076;0,029607943;0,652;0,02;3,571;0,28;;
3um-3-09;3um;3-20 µm;3um-3-09;G309;58;T3;343;15;3;18/06/2016;170;-58,7;69;2;MIZ;0;1,7;Zymo;3126;21391;;;0;;;-0,6;2,2;1,9;33,1;12;19;20,20734562;9,559871237;0,616807534;115,1147192;245,8677377;501,2984788;77,08223864;165,1853308;13,65846957;28,99589779;3,706708742;3,059403126;0,29942658;232,7941771;16,04430721;0,028;0,022;0,077;1,251;0,16703349;0,712;0,022;2,75;0,364;2,1307;0,0783
3um-3-10;3um;3-20 µm;3um-3-10;G309;58;T3;343;20;4;18/06/2016;170;-58,7;69;2;MIZ;0;3,5;Zymo;11156;46889;;;0;;;-0,9;4,8;2;33,4;12;19;20,20734562;12,58286637;3,124814537;NA;288,3709584;NA;NA;65,47500118;NA;39,27067801;1,359156767;5,410240201;0,47705635;185,1208147;5,973211229;0,758;0,031;0,27;3,007;0,017317853;0,99;0,252;0,356;2,807;2,8827;0,0951
3um-3-11;3um;3-20 µm;3um-3-11;G309;58;T3;343;38;5;18/06/2016;170;-58,7;69;2;MIZ;0;1,6;Zymo;1314;22197;;;0;;;-1,7;0,5;2;33,7;12;19;20,20734562;;;;;;;;;;;;;;;;;;;;;;;;0,4724;0,0501
3um-3-12;3um;3-20 µm;3um-3-12;G309;58;T3;343;50;6;18/06/2016;170;-58,7;69;2;MIZ;0;1,6;Zymo;442;15487;;;0;;;-1,7;0,2;2;33,8;12;19;20,20734562;;;;;;;;;;;;;;;;;;;;;;;;;
3um-3-13;3um;3-20 µm;3um-3-13;G312;66;T3;1395;0;1;19/06/2016;171;-59,6;69;-10;MIZ;100;0,3;Zymo;571;9069;4751;582;5333;100;1361971;-1,6;0,2;1,8;32,6;11;0;2,179350584;15,94564669;1,222693557;123,6704971;102,9169392;277,0045728;164,8886071;15,46134574;10,38249625;14,34687698;2,136540418;2,33201502;0,290040277;NA;13,77464885;1,742;0,052;0,447;4,04;0,77165589;0,791;0,431;0,257;3,897;0,7136;0,1122
3um-3-14;3um;3-20 µm;3um-3-14;G312;66;T3;1395;11;2;19/06/2016;171;-59,6;69;-10;MIZ;100;2;Zymo;249;6582;6264;542;6806;104;1196800;-1,6;0,2;1,9;32,7;11;0;2,179350584;12,23762696;2,410585663;152,8720548;73,52747632;228,8371968;178,8926875;14,84896066;5,775271002;13,15733606;0,674309753;2,085235567;0,131220892;82,41681826;6,782195947;2,711;0,057;0,547;4,919;0,632944633;0,791;0,551;0,202;4,956;1,0721;0,1386
3um-3-15;3um;3-20 µm;3um-3-15;G312;66;T3;1395;18;3;19/06/2016;171;-59,6;69;-10;MIZ;100;3,7;Zymo;5326;36901;10020;1701;11721;80;1135100;-1,6;1,4;1,9;33,2;11;0;2,179350584;21,77728668;2,987093655;163,8062326;167,3073086;239,540217;164,8095042;17,14514635;18,03826496;16,13537509;0,845117335;2,579053478;0,131907106;137,6143514;4,95435812;3,509;0,056;0,619;5,991;0,300276088;0,433;0,586;0,176;5,669;1,0345;0,1366
3um-3-16;3um;3-20 µm;3um-3-16;G312;66;T3;1395;28;4;19/06/2016;171;-59,6;69;-10;MIZ;100;1,8;Zymo;2559;21637;6602;930;7532;15;671114;-1,6;1,3;2;33,5;11;0;2,179350584;5,680734937;1,097750921;144,8071808;23,79764079;85,93176687;152,9252732;8,986165146;12,03263365;8,240686067;0,66686072;1,341723383;0,107293518;149,6644385;6,591794435;5,963;0,066;0,804;8,022;0,221580303;0,393;0,743;0,135;7,417;0,6876;0,1063
3um-3-17;3um;3-20 µm;3um-3-17;G312;66;T3;1395;35;5;19/06/2016;171;-59,6;69;-10;MIZ;100;2,5;Zymo;122;1967;3408;642;4050;0;445386;-1,6;0,6;2,2;33,6;11;0;2,179350584;1,800992937;0,318857989;139,8608139;9,385622082;32,82098844;129,5466065;5,014105261;5,685451386;5,055177694;0,67229855;0,83494618;0,138796729;115,4513647;5,565558359;7,133;0,071;0,87;8,56;0,31537932;0,433;0,833;0,122;8,199;0,4584;0,0718
3um-3-18;3um;3-20 µm;3um-3-18;G312;66;T3;1395;54;6;19/06/2016;171;-59,6;69;-10;MIZ;100;0,6;Zymo;439;38380;1597;507;2104;0;331314;-1,7;0,3;2,1;33,7;11;0;2,179350584;;;;;;;;;;;;;;;;;;;;;;;;;
3um-3-19;3um;3-20 µm;3um-3-19;G318;73;T3;1775;0;1;20/06/2016;172;-61;69;-15;UI;98,87999725;16,9;Zymo;231;16811;2216;2735;4951;137;300294;-1,5;0,3;2;33,2;9;0;6,772966238;16,75490825;1,072936413;123,1726766;88,51744221;41,43161731;93,76803788;20,10236762;4,064044459;12,99262331;1,048735118;2,129367432;0,249564131;151,1455982;15,16146904;5,164;0,1;0,676;6,86;0,25565789;1,905;0,753;0,131;7,639;1,0924;0,1744
3um-3-20;3um;3-20 µm;3um-3-20;G318;73;T3;1775;12;2;20/06/2016;172;-61;69;-15;UI;98,87999725;9,3;Zymo;589;30600;1157;2598;3755;142;283544;-1,6;0,4;2;33,5;9;0;6,772966238;11,61354608;0,844233127;188,2959808;65,8475488;178,7674405;78,95861773;60,44138976;19,10480974;9,303168691;0,454070547;1,874522298;0,256455852;150,6796548;14,30728762;5,605;0,052;0,753;6,275;0,241138562;1,905;0,893;0,134;7,444;0,9073;0,0491
3um-3-21;3um;3-20 µm;3um-3-21;G318;73;T3;1775;19;3;20/06/2016;172;-61;69;-15;UI;98,87999725;8,6;Zymo;697;25278;662;1838;2500;49;247132;-1,7;0,6;2,1;33,6;9;0;6,772966238;7,408897761;0,647406543;68,06974304;46,80142779;40,2064836;37,34631445;16,26251862;1,236354643;6,976989081;0,776405279;1,475822121;0,18804527;92,75256326;29,29455872;6,403;0,06;0,84;7,489;0,16265571;0,692;0,855;0,131;7,623;0,7178;0,0415
3um-3-22;3um;3-20 µm;3um-3-22;G318;73;T3;1775;30;4;20/06/2016;172;-61;69;-15;UI;98,87999725;0,9;Zymo;111;19636;221;838;1059;15;220779;-1,7;0,2;2,3;33,7;9;0;6,772966238;1,279688116;0,032512991;35,57925534;9,39595852;30,78289564;4,877638655;7,610407791;1,307577112;2,399819879;1,010077546;1,03204944;0,247958577;138,8837126;25,81426502;8,513;0,084;0,965;9,514;0,026095548;0,473;0,895;0,113;8,822;0,1926;0,0154
3um-3-23;3um;3-20 µm;3um-3-23;G318;73;T3;1775;43;5;20/06/2016;172;-61;69;-15;UI;98,87999725;1,7;Zymo;435;22659;240;809;1049;0;238397;-1,7;0,1;2,2;33,7;9;0;6,772966238;0,563460541;0,093541414;47,98102891;5,344558708;48,24724985;4,287241018;7,95822518;7,149885964;2,230486313;0,829332539;0,655444459;0,168967914;101,654464;5,403099913;8,568;0,052;0,927;8,643;0,019424506;1,01;0,991;0,108;9,243;;
3um-3-24;3um;3-20 µm;3um-3-24;G318;73;T3;1775;59;6;20/06/2016;172;-61;69;-15;UI;98,87999725;0,9;Zymo;448;27379;0;926;926;0;232647;-1,7;0,2;2,1;33,8;9;0;6,772966238;0,051894104;0,051894104;54,91518921;3,744153824;54,78874637;1,96583008;3,334226817;8,604527311;2,547895556;0,635806505;0,574261848;0,11344498;117,9586469;5,025269247;8,674;0,047;0,918;8,384;0,024918305;0,692;1,035;0,106;9,449;0,0749;0,0108
3um-3-25;3um;3-20 µm;3um-3-25;G324;81;T3;1890;0;1;21/06/2016;173;-62,3;69;-23;UI;100;18,3;Zymo;526;16282;2808;2869;5677;146;555563;-1,6;0,2;2,4;32,5;10;0;3,188040945;14,83211612;0,575628524;104,9322799;118,958698;47,35453905;73,20680683;28,15559351;2,827353528;11,81993994;1,049442427;2,034112222;0,169271745;133,6189906;5,584325931;4,114;0,082;0,892;9,875;0,194001555;0,513;0,417;0,217;4,612;0,8836;0,1529
3um-3-26;3um;3-20 µm;3um-3-26;G324;81;T3;1890;12;2;21/06/2016;173;-62,3;69;-23;UI;100;4,7;Zymo;967;43921;3722;1929;5651;131;504484;-1,6;0,6;2,4;32,8;10;0;3,188040945;12,05511168;0,073602467;71,33684721;53,01450593;47,20885006;52,44416363;17,44524679;2,828052159;11,1878607;0,724056874;2,170632256;0,263725172;132,1733708;5,455805897;4,13;0,058;0,897;8,197;0,23524598;0,513;0,504;0,217;4,604;0,8879;0,1449
3um-3-27;3um;3-20 µm;3um-3-27;G324;81;T3;1890;20;3;21/06/2016;173;-62,3;69;-23;UI;100;7,6;Zymo;518;28960;4449;1490;5939;76;523625;-1,6;0,7;2,5;33;10;0;3,188040945;8,515803717;0,205797225;78,91111847;37,92008345;37,39470655;49,23244456;13,84691874;0,519610381;7,835241606;0,282739017;1,546227058;0,377418875;96,04970874;6,56023765;4,366;0,058;0,886;7,674;0,240974372;0,393;0,569;0,203;4,928;0,7565;0,1261
3um-3-28;3um;3-20 µm;3um-3-28;G324;81;T3;1890;31;4;21/06/2016;173;-62,3;69;-23;UI;100;6,1;Zymo;71;8528;3672;1298;4970;25;385953;-1,6;0,6;2,5;33,1;10;0;3,188040945;4,227047874;0,116535653;26,10269803;14,89175868;9,936008425;27,00197413;11,3404713;1,747194145;5,719181458;0,1661096;1,241570522;0,376071706;116,86506;5,141867631;5,362;0,069;0,939;8,46;0,218442696;0,552;0,634;0,175;5,71;0,6684;0,1063
3um-3-29;3um;3-20 µm;3um-3-29;G324;81;T3;1890;39;5;21/06/2016;173;-62,3;69;-23;UI;100;5;Zymo;312;23010;3934;1141;5075;40;286047;-1,6;0,6;2,5;33,4;10;0;3,188040945;1,703425342;0,287857691;50,2031394;5,964160241;35,52483974;10,73375957;5,548968115;2,713445066;4,896118184;0,115903046;1,000663138;0,302889314;119,7658222;5,362814847;6,446;0,079;0,968;9,325;0,115331633;0,751;0,691;0,15;6,659;0,5629;0,0996
3um-3-30;3um;3-20 µm;3um-3-30;G324;81;T3;1890;60;6;21/06/2016;173;-62,3;69;-23;UI;100;1,5;Zymo;206;16338;449;354;803;15;185094;-1,7;0,2;2,6;33,6;10;0;3,188040945;;;;;;;;;;;;;;;;;;;;;;;;;
3um-5-03;3um;3-20 µm;3um-5-03;G507;124;T5;293;12;1;30/06/2016;182;-59,1;70;3;MIZ;0;6,3;Zymo (Filter + Lysate);1701;15613;20469;1651;22120;0;2893129;-1,5;2,5;1,9;33,1;8;14;14,33051987;;;;;;;;;;;;;;;1,187;0,028;0,378;1,191;;;0,997;0,318;3,14;;
3um-5-04;3um;3-20 µm;3um-5-04;G507;124;T5;293;20;2;30/06/2016;182;-59,1;70;3;MIZ;0;2,4;Zymo (Filter + Lysate);2100;30709;9984;1083;11067;0;1856274;-1,6;1,2;2;33,5;8;14;14,33051987;;;;;;;;;;;;;;;4,306;0,065;0,556;2,488;;;1,731;0,129;7,745;1,8383;0,1997
3um-5-06;3um;3-20 µm;3um-5-06;G507;124;T5;293;50;3;30/06/2016;182;-59,1;70;3;MIZ;0;0,2;Zymo (Filter);305;15548;984;292;1276;0;507306;-1,7;0,1;2,1;33,8;8;14;14,33051987;;;;;;;;;;;;;;;8,045;0,154;0,772;5,83;;;1,38;0,096;10,421;0,2197;0,0101
3um-5-07;3um;3-20 µm;3um-5-07;G512;135;T5;541;0;1;01/07/2016;183;-60,4;70;2;MIZ;0;8,3;Zymo (Filter + Lysate);1634;36629;16510;2793;19303;0;2204730;-0,8;0,1;1,6;31,8;5;15;21,89875913;16,73246833;9,789526478;14,37855247;59,45004083;145,2694111;11,45399516;101,4230029;1,040313948;44,33079979;4,299987059;4,28862105;0,279624582;114,1032982;8,282611629;0,007;0,003;0,175;1,452;0,028968577;0,296;0,005;25;0,04;1,2125;0,0602
3um-5-08;3um;3-20 µm;3um-5-08;G512;135;T5;541;5;2;01/07/2016;183;-60,4;70;2;MIZ;0;10,3;Zymo (Filter + Lysate);3724;15159;11045;8111;19156;0;2112900;-0,9;0,1;1,8;32,3;5;15;21,89875913;25,17950518;12,76274281;10,35410039;25,98712191;73,47128306;2,902947701;43,01946078;0,675805066;46,43273077;3,199044978;4,339514498;0,06786493;165,7817491;10,97354766;0,062;0,002;0,294;1,894;0,00861228;0,296;0,033;4,742;0,211;1,3275;0,0761
3um-5-09;3um;3-20 µm;3um-5-09;G512;135;T5;541;10;3;01/07/2016;183;-60,4;70;2;MIZ;0;7,8;Zymo (Filter + Lysate);7237;35341;12965;6798;19763;0;2158240;-1,3;0,4;2;33,1;5;15;21,89875913;14,54356271;5,393978799;4,618102234;75,30871146;100,3739383;8,110991939;44,6804146;0,964839878;40,61543502;2,778656487;3,975679725;0,240937951;158,5173303;11,1196431;0,107;0;0,275;1,76;0,005480542;0,338;0,061;2,57;0,389;3,1074;0,1658
3um-5-11;3um;3-20 µm;3um-5-11;G512;135;T5;541;20;4;01/07/2016;183;-60,4;70;2;MIZ;0;12;Zymo (Filter + Lysate);5157;17389;6702;12909;19611;0;991458;-1,6;14,5;2;33,5;5;15;21,89875913;31,38916663;12,75875068;75,26464496;638,1351073;155,6187207;0;31,39689632;2,095406971;46,37102387;2,188621862;5,986932135;0,176240623;135,3194554;11,27848571;4,55;0,027;0,612;4,044;0,090037469;0,359;1,125;0,135;7,435;9,582;0,1613
3um-5-12;3um;3-20 µm;3um-5-12;G512;135;T5;541;30;5;01/07/2016;183;-60,4;70;2;MIZ;0;3,1;Zymo (Filter + Lysate);10095;49574;3581;2894;6475;0;663944;-1,7;0,9;2;33,7;5;15;21,89875913;0,509254647;0,509254647;37,86923629;16,89075738;28,04829446;0;4,627927187;0;17,65449169;6,89025277;2,60164906;1,589697883;71,01046221;8,636199958;7,531;0,103;0,785;5,989;0,156195435;0,359;1,257;0,104;9,594;0,7906;0,0655
3um-5-14;3um;3-20 µm;3um-5-14;G519;144;T5;2004;5;1;02/07/2016;184;-62,4;70;-3;MIZ;83,61999512;2,3;Zymo (Filter + Lysate);173;7674;10952;1323;12275;0;831603;-1,4;0,1;2,5;32,5;4;0;4,493360418;;;;;;;;;;;;;;;;;;;;;;;;;
3um-5-16;3um;3-20 µm;3um-5-16;G519;144;T5;2004;15;2;02/07/2016;184;-62,4;70;-3;MIZ;83,61999512;2;Zymo (Filter);450;33181;1381;566;1947;0;450662;-1,6;0,2;2,8;33;4;0;4,493360418;1,081330718;0,392442798;67,90440581;21,08060628;21,32593775;17,8154757;3,334653515;10,35050111;4,078555584;0,432858489;0,596397815;0,106099084;84,58639832;9,986797118;6,594;0,122;1,016;11,379;0,15165504;0,473;0,579;0,154;6,49;0,4056;0,0905
